File Name, Num Words, Num Tokens, Num Sentences, Num Speakers, Ave Sentence Len, Ave Word Len, '', ., :, CC, CD, DT, EX, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``, comma
mlpaf-s1e10-dialog-crunchtherockdog.txt, 2110, 623, 313, 18, 26.77, 3.29, 6, 305, 4, 17, 11, 129, 4, 112, 103, 0, 1, 38, 186, 166, 0, 21, 2, 9, 227, 34, 119, 2, 0, 11, 41, 28, 123, 31, 24, 18, 86, 70, 5, 19, 0, 15, 3, 140
mlpaf-s1e4-dialog-brightlights.txt, 3685, 791, 465, 29, 32.08, 3.32, 4, 438, 19, 78, 7, 173, 9, 169, 123, 17, 3, 87, 280, 280, 5, 102, 3, 23, 453, 88, 230, 5, 0, 12, 80, 26, 258, 90, 48, 44, 173, 67, 7, 29, 0, 27, 0, 228
mlpaf-s2e4-dialog-somnambula.txt, 1961, 574, 293, 26, 26.05, 3.21, 14, 282, 11, 45, 9, 120, 6, 81, 86, 2, 0, 33, 174, 105, 15, 49, 5, 22, 199, 21, 137, 1, 1, 16, 32, 17, 111, 26, 27, 18, 103, 52, 1, 24, 0, 14, 2, 100
mlpfim-s1e10-dialog-SwarmOfTheCentury.txt, 2443, 658, 321, 22, 31.06, 3.39, 6, 312, 24, 39, 13, 157, 4, 141, 96, 6, 4, 45, 236, 154, 0, 60, 4, 13, 246, 27, 157, 1, 0, 17, 44, 26, 138, 40, 35, 29, 128, 54, 3, 23, 0, 19, 2, 140
mlpfim-s1e4-dialog-ApplebuckSeason.txt, 2708, 745, 394, 29, 27.25, 3.29, 18, 383, 30, 49, 17, 171, 6, 131, 132, 3, 7, 37, 261, 188, 0, 75, 7, 13, 251, 36, 164, 3, 2, 13, 60, 39, 133, 52, 38, 20, 120, 48, 6, 23, 1, 14, 1, 156
mlpfim-s2e4-dialog-LunaEclipsed.txt, 2401, 690, 328, 36, 31.42, 3.57, 7, 321, 24, 40, 11, 127, 3, 142, 117, 6, 5, 38, 223, 235, 0, 55, 2, 5, 228, 44, 151, 0, 3, 16, 49, 14, 137, 36, 24, 27, 84, 67, 4, 18, 0, 16, 4, 118

mlpaf, 7756, 1404, 1071, 73, 28.88, 3.28, 24, 1025, 34, 140, 27, 422, 19, 362, 312, 19, 4, 158, 640, 551, 20, 172, 10, 54, 879, 143, 486, 8, 1, 39, 153, 71, 492, 147, 99, 80, 362, 189, 13, 72, 0, 56, 5, 468
mlpfim, 7552, 1453, 1043, 87, 29.73, 3.41, 31, 1016, 78, 128, 41, 455, 13, 414, 345, 15, 16, 120, 720, 577, 0, 190, 13, 31, 725, 107, 472, 4, 5, 46, 153, 79, 408, 128, 97, 76, 332, 169, 13, 64, 1, 49, 7, 414

mlpaf, 1000.0, 181.02, 138.09, 73, 28.88, 3.28, 3.09, 132.16, 4.38, 18.05, 3.48, 54.41, 2.45, 46.67, 40.23, 2.45, 0.52, 20.37, 82.52, 71.04, 2.58, 22.18, 1.29, 6.96, 113.33, 18.44, 62.66, 1.03, 0.13, 5.03, 19.73, 9.15, 63.43, 18.95, 12.76, 10.31, 46.67, 24.37, 1.68, 9.28, 0, 7.22, 0.64, 60.34
mlpfim, 1000.0, 192.4, 138.11, 87, 29.73, 3.41, 4.1, 134.53, 10.33, 16.95, 5.43, 60.25, 1.72, 54.82, 45.68, 1.99, 2.12, 15.89, 95.34, 76.4, 0, 25.16, 1.72, 4.1, 96.0, 14.17, 62.5, 0.53, 0.66, 6.09, 20.26, 10.46, 54.03, 16.95, 12.84, 10.06, 43.96, 22.38, 1.72, 8.47, 0.13, 6.49, 0.93, 54.82
